period,period_label,inflows,outflows,net_cash_flow,discounted_net_cash_flow,cumulative_cash_flow,cumulative_discounted_cash_flow
0,Period 0,40000.0,265000.0,-225000.0,-225000.0,-225000.0,-225000.0
1,Year 1,61200.0,10200.0,51000.0,48113.21,-174000.0,-176886.79
2,Year 2,62424.0,10404.0,52020.0,46297.61,-121980.0,-130589.18
3,Year 3,63672.48,10612.08,53060.4,44550.54,-68919.6,-86038.64
4,Year 4,64945.93,10824.32,54121.61,42869.38,-14797.99,-43169.26
5,Year 5,66244.85,11040.81,55204.04,41251.67,40406.05,-1917.59
6,Year 6,67569.75,11261.62,56308.12,39695.0,96714.17,37777.41
7,Year 7,68921.14,11486.86,57434.28,38197.08,154148.45,75974.49
8,Year 8,70299.56,11716.59,58582.97,36755.68,212731.42,112730.17
9,Year 9,71705.55,11950.93,59754.63,35368.67,272486.05,148098.84
10,Year 10,108139.67,17189.94,90949.72,50785.85,363435.77,198884.69
